timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds
Sat Nov 22 18:40:36 EST 2014,btce,ppc,0.703,USD,1.43066572,1.41430725,{ feed : btce - price : 0.703}  { feed : coinmarketcap_ne - price : 0.705922}  { feed : coinmarketcap_no - price : 0.709325}  

Sat Nov 22 18:43:39 EST 2014,btce,ppc,0.7,USD,1.43679714,1.42036857,{ feed : btce - price : 0.7}  { feed : coinmarketcap_ne - price : 0.705922}  { feed : coinmarketcap_no - price : 0.709325}  

Sat Nov 22 18:47:43 EST 2014,btce,ppc,0.701,USD,1.4347475,1.41834237,{ feed : btce - price : 0.701}  { feed : coinmarketcap_ne - price : 0.702736}  { feed : coinmarketcap_no - price : 0.705922}  

Sat Nov 22 19:00:56 EST 2014,btce,ppc,0.7,USD,1.43679714,1.42036857,{ feed : btce - price : 0.7}  { feed : coinmarketcap_ne - price : 0.704748}  { feed : coinmarketcap_no - price : 0.70193}  

Sat Nov 22 19:10:06 EST 2014,btce,ppc,0.701,USD,1.4347475,1.41834237,{ feed : btce - price : 0.701}  { feed : coinmarketcap_ne - price : 0.703861}  { feed : coinmarketcap_no - price : 0.703861}  

Sat Nov 22 19:55:50 EST 2014,btce,ppc,0.702,USD,1.4327037,1.41632194,{ feed : btce - price : 0.702}  { feed : coinmarketcap_ne - price : 0.705029}  { feed : coinmarketcap_no - price : 0.705029}  

Sat Nov 22 20:15:09 EST 2014,btce,ppc,0.705,USD,1.42660709,1.41029504,{ feed : btce - price : 0.705}  { feed : coinmarketcap_ne - price : 0.70524}  { feed : coinmarketcap_no - price : 0.70524}  

Sat Nov 22 20:29:23 EST 2014,btce,ppc,0.707,USD,1.42257143,1.40630552,{ feed : btce - price : 0.707}  { feed : coinmarketcap_ne - price : 0.708867}  { feed : coinmarketcap_no - price : 0.705492}  

Sat Nov 22 20:35:29 EST 2014,btce,ppc,0.711,USD,1.41456821,1.39839381,{ feed : btce - price : 0.711}  { feed : coinmarketcap_ne - price : 0.709785}  { feed : coinmarketcap_no - price : 0.709112}  

Sat Nov 22 20:45:39 EST 2014,btce,ppc,0.712,USD,1.41258146,1.39642978,{ feed : btce - price : 0.712}  { feed : coinmarketcap_ne - price : 0.71418}  { feed : coinmarketcap_no - price : 0.71138}  

Sat Nov 22 20:48:42 EST 2014,btce,ppc,0.711,USD,1.41456821,1.39839381,{ feed : btce - price : 0.711}  { feed : coinmarketcap_ne - price : 0.71418}  { feed : coinmarketcap_no - price : 0.71138}  

Sat Nov 22 20:52:46 EST 2014,btce,ppc,0.707,USD,1.42257143,1.40630552,{ feed : btce - price : 0.707}  { feed : coinmarketcap_ne - price : 0.703498}  { feed : coinmarketcap_no - price : 0.71418}  

Sat Nov 22 20:55:54 EST 2014,btce,ppc,0.712,USD,1.41258146,1.39642978,{ feed : btce - price : 0.712}  { feed : coinmarketcap_ne - price : 0.705455}  { feed : coinmarketcap_no - price : 0.703498}  

Sat Nov 22 20:58:52 EST 2014,btce,ppc,0.711,USD,1.41456821,1.39839381,{ feed : btce - price : 0.711}  { feed : coinmarketcap_ne - price : 0.705455}  { feed : coinmarketcap_no - price : 0.703498}  

Sat Nov 22 21:01:55 EST 2014,btce,ppc,0.71,USD,1.41656056,1.40036338,{ feed : btce - price : 0.71}  { feed : coinmarketcap_ne - price : 0.705581}  { feed : coinmarketcap_no - price : 0.705455}  

Sat Nov 22 21:16:09 EST 2014,btce,ppc,0.712,USD,1.41258146,1.39642978,{ feed : btce - price : 0.712}  { feed : coinmarketcap_ne - price : 0.71097}  { feed : coinmarketcap_no - price : 0.712374}  

Sat Nov 22 21:29:22 EST 2014,btce,ppc,0.711,USD,1.41456821,1.39839381,{ feed : btce - price : 0.711}  { feed : coinmarketcap_ne - price : 0.714027}  { feed : coinmarketcap_no - price : 0.714378}  

Sat Nov 22 21:38:31 EST 2014,btce,ppc,0.71,USD,1.41656056,1.40036338,{ feed : btce - price : 0.71}  { feed : coinmarketcap_ne - price : 0.712463}  { feed : coinmarketcap_no - price : 0.713033}  

